complexNo,sido,gungu,dong,complexName
144763,부산시,강서구,강동동,에코델타스마트시티수자인
145041,부산시,강서구,강동동,에코델타호반써밋스마트시티
119433,부산시,강서구,녹산동,유나베네스1차(주상복합)
119502,부산시,강서구,녹산동,유나베네스2차
127136,부산시,강서구,대저1동,외진가센트럴타워(주상복합)
125041,부산시,강서구,대저1동,우창더뷰
152220,부산시,강서구,대저1동,우창아르피나(도시형)
135286,부산시,강서구,대저1동,우창팰리스
121320,부산시,강서구,대저1동,태원더블루원(주상복합)
145910,부산시,강서구,대저2동,"공항마을리베르하임(민간임대,주상복합)"
127946,부산시,강서구,동선동,팰리스(도시형)
113505,부산시,강서구,명지동,e편한세상명지(주상복합)
25894,부산시,강서구,명지동,극동스타클래스
119328,부산시,강서구,명지동,더샵명지퍼스트월드2단지(주상복합)
119329,부산시,강서구,명지동,더샵명지퍼스트월드3단지(주상복합)
114880,부산시,강서구,명지동,더힐시그니처
106178,부산시,강서구,명지동,명지1차금강펜테리움센트럴파크
112596,부산시,강서구,명지동,명지국제신도시삼정그린코아더베스트(주상복합)
107717,부산시,강서구,명지동,명지국제신도시호반베르디움1차
109074,부산시,강서구,명지동,명지국제신도시호반베르디움2차
107737,부산시,강서구,명지동,명지금강펜테리움센트럴파크2차
106554,부산시,강서구,명지동,명지대방노블랜드오션뷰1차
107738,부산시,강서구,명지동,명지대방노블랜드오션뷰2차
113098,부산시,강서구,명지동,명지더웨스턴
102843,부산시,강서구,명지동,명지두산위브포세이돈
25769,부산시,강서구,명지동,명지롯데캐슬
104870,부산시,강서구,명지동,명지오션시티삼정그린코아
100118,부산시,강서구,명지동,명지오션시티엘크루솔마레
105610,부산시,강서구,명지동,명지오션시티한신휴플러스
108371,부산시,강서구,명지동,명지협성휴포레
116374,부산시,강서구,명지동,부산명지중흥S-클래스더테라스(도시형)
109854,부산시,강서구,명지동,부산명지중흥S-클래스에듀오션
108771,부산시,강서구,명지동,부산명지중흥S-클래스프라디움
106120,부산시,강서구,명지동,에일린의뜰
179057,부산시,강서구,명지동,에코빌(도시형)
26078,부산시,강서구,명지동,엘크루블루오션4단지
26079,부산시,강서구,명지동,엘크루블루오션5단지
26080,부산시,강서구,명지동,엘크루블루오션6단지
25241,부산시,강서구,명지동,영어도시퀸덤1차링컨타운
24846,부산시,강서구,명지동,영어도시퀸덤1차아인슈타인타운
24757,부산시,강서구,명지동,영어도시퀸덤1차에디슨타운
107340,부산시,강서구,신호동,부산신호사랑으로부영1차
108393,부산시,강서구,신호동,부산신호사랑으로부영2차
17615,부산시,강서구,신호동,부산신호윌더하임
114287,부산시,강서구,지사동,명진파크뷰(도시형)
109546,부산시,강서구,지사동,지사과학삼정그린코아
104076,부산시,강서구,지사동,지사금강펜테리움
106179,부산시,강서구,지사동,협성DS엘리시안
157217,부산시,강서구,화전동,명지화전우방아이유쉘
109707,부산시,금정구,구서동,강한베스트빌(주상복합)
106391,부산시,금정구,구서동,거북맨션
120064,부산시,금정구,구서동,거성
9425,부산시,금정구,구서동,경보
103308,부산시,금정구,구서동,경희빌리지(주상복합)
102907,부산시,금정구,구서동,광이드림타워(주상복합)
161857,부산시,금정구,구서동,구서1차봄여름가을겨울
108245,부산시,금정구,구서동,구서SK뷰1단지
108246,부산시,금정구,구서동,구서SK뷰2단지
10993,부산시,금정구,구서동,구서건흥(주상복합)
112266,부산시,금정구,구서동,구서나우빌라트
106763,부산시,금정구,구서동,구서다움
151858,부산시,금정구,구서동,구서다움파크(주상복합)
4014,부산시,금정구,구서동,구서동일
