NO,시군구,**시,**구,**동,[P2]시군구_단지명,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
1,광주시 북구 운암동,광주시,북구,운암동,광주시 북구 운암동 운암2차남양휴튼,1781,1781,0,운암2차남양휴튼,84.8088,202312,31,"41,300",201동,9,-,-,2019,북문대로 88,-,중개거래,광주 남구,24.04.26,아파트
2,광주시 북구 신용동,광주시,북구,신용동,광주시 북구 신용동 첨단자이2차,863,863,0,첨단자이2차,84.9442,202312,31,"42,000",202,8,-,-,2012,임방울대로 1020,-,중개거래,광주 북구,24.02.05,아파트
3,광주시 서구 내방동,광주시,서구,내방동,광주시 서구 내방동 솔뫼타운,475-1,475,1,솔뫼타운,46.365,202312,31,"11,300",102,4,-,-,1999,내방로278번길 7,-,중개거래,광주 서구,24.02.15,아파트
4,광주시 서구 금호동,광주시,서구,금호동,광주시 서구 금호동 금호시영5단지,742-2,742,2,금호시영5단지,59.82,202312,31,"14,900",507,11,-,-,1994,운천로32번길 7,-,중개거래,광주 서구,24.02.14,아파트
5,광주시 광산구 송정동,광주시,광산구,송정동,광주시 광산구 송정동 마이다스빌,948-4,948,4,마이다스빌,50.51,202312,31,"8,000",101,9,-,-,1999,평동로1119번길 25,-,중개거래,광주 서구,24.02.21,아파트
6,광주시 광산구 소촌동,광주시,광산구,소촌동,광주시 광산구 소촌동 서라2,612,612,0,서라2,59.985,202312,31,"10,100",202,15,-,-,1995,어등대로665번길 26,-,중개거래,광주 서구,24.01.22,아파트
7,광주시 남구 지석동,광주시,남구,지석동,광주시 남구 지석동 일진스위트포레,444,444,0,일진스위트포레,84.8792,202312,31,"30,000",107동,9,-,-,2020,고싸움로164번길 22,-,중개거래,"광주 광산구, 광주 서구",24.05.22,아파트
8,광주시 광산구 신가동,광주시,광산구,신가동,광주시 광산구 신가동 신창7차부영사랑으로,1030,1030,0,신창7차부영사랑으로,84.9931,202312,31,"30,000",1310동,8,-,-,2006,신창로35번길 54,-,중개거래,광주 광산구,24.01.26,아파트
9,광주시 광산구 월곡동,광주시,광산구,월곡동,광주시 광산구 월곡동 운남주공10단지,685-1,685,1,운남주공10단지,59.77,202312,31,"20,700",1010,14,-,-,2003,사암로340번길 30,-,중개거래,광주 광산구,24.01.30,아파트
10,광주시 광산구 신가동,광주시,광산구,신가동,광주시 광산구 신가동 신창6차호반베르디움,1048,1048,0,신창6차호반베르디움,70.9346,202312,30,"27,700",604,4,-,-,2005,신창로35번길 80,-,중개거래,광주 광산구,24.03.15,아파트
11,광주시 광산구 운남동,광주시,광산구,운남동,광주시 광산구 운남동 운남주공8단지,781-1,781,1,운남주공8단지,49.55,202312,30,"16,000",804,8,-,-,2000,목련로153번길 143,-,중개거래,광주 광산구,24.02.02,아파트
12,광주시 광산구 신창동,광주시,광산구,신창동,광주시 광산구 신창동 신창2차부영,1270,1270,0,신창2차부영,84.7886,202312,30,"25,300",209,17,-,-,2005,신창로71번길 33,-,중개거래,광주 광산구,24.03.11,아파트
13,광주시 광산구 장덕동,광주시,광산구,장덕동,광주시 광산구 장덕동 새한포유,1689,1689,0,새한포유,84.9401,202312,30,"47,200",106,7,-,-,2008,풍영로170번길 39-9,-,중개거래,광주 광산구,24.02.20,아파트
14,광주시 광산구 운남동,광주시,광산구,운남동,광주시 광산구 운남동 운남주공7단지,794-3,794,3,운남주공7단지,49.83,202312,30,"15,800",702,10,-,-,2001,목련로153번길 56,-,중개거래,광주 광산구,24.01.15,아파트
15,광주시 북구 일곡동,광주시,북구,일곡동,광주시 북구 일곡동 청솔,849-2,849,2,청솔,48.45,202312,30,"8,950",103,6,-,-,2000,일곡로 80,-,중개거래,광주 북구,24.02.29,아파트
16,광주시 북구 각화동,광주시,북구,각화동,광주시 북구 각화동 더샵광주포레스트,724,724,0,더샵광주포레스트,101.9824,202312,30,"65,300",102동,22,-,-,2023,동문대로249번길 12,-,중개거래,광주 북구,24.03.25,아파트
17,광주시 북구 삼각동,광주시,북구,삼각동,광주시 북구 삼각동 일곡엘리체프라임,835,835,0,일곡엘리체프라임,74.1967,202312,30,"36,300",108동,6,-,-,2016,설죽로 419,-,중개거래,광주 북구,24.01.23,아파트
18,광주시 북구 삼각동,광주시,북구,삼각동,광주시 북구 삼각동 삼익,755-17,755,17,삼익,84.81,202312,30,"17,300",102,4,-,-,1990,설죽로370번길 15,-,중개거래,광주 북구,24.03.11,아파트
19,광주시 북구 중흥동,광주시,북구,중흥동,광주시 북구 중흥동 모아1,323-1,323,1,모아1,133.35,202312,30,"26,000",-,1,-,-,1991,서암대로 199,20240226,중개거래,광주 북구,-,아파트
20,광주시 북구 일곡동,광주시,북구,일곡동,광주시 북구 일곡동 벽산,817-2,817,2,벽산,84.99,202312,30,"28,350",102,21,-,-,1997,우치로537번길 5,-,중개거래,광주 북구,24.01.26,아파트
21,광주시 북구 신용동,광주시,북구,신용동,광주시 북구 신용동 광주첨단2지구사랑으로부영,737,737,0,광주첨단2지구사랑으로부영,60.4624,202312,30,"22,100",105,7,-,-,2013,첨단연신로 166,-,직거래,-,24.01.15,아파트
22,광주시 남구 주월동,광주시,남구,주월동,광주시 남구 주월동 봉선로남해오네뜨,1312,1312,0,봉선로남해오네뜨,84.8298,202312,30,"58,000",104동,15,-,-,2018,봉선로 42,-,중개거래,광주 남구 광주 북구,24.01.24,아파트
23,광주시 남구 주월동,광주시,남구,주월동,광주시 남구 주월동 주월동이지더원1단지,1301,1301,0,주월동이지더원1단지,84.9728,202312,30,"43,000",102,6,-,-,2012,봉선로84번길 16,-,중개거래,광주 남구,24.02.20,아파트
24,광주시 북구 유동,광주시,북구,유동,광주시 북구 유동 금남로대광로제비앙,141,141,0,금남로대광로제비앙,84.7468,202312,30,"42,500",102동,14,-,-,2022,서림로 153,-,중개거래,전남 나주시,24.04.26,아파트
25,광주시 서구 동천동,광주시,서구,동천동,광주시 서구 동천동 동천센트럴파크,506,506,0,동천센트럴파크,84.99,202312,30,"32,500",202,3,-,-,2007,동천로 11,-,중개거래,광주 서구,24.03.04,아파트
26,광주시 북구 본촌동,광주시,북구,본촌동,광주시 북구 본촌동 힐스테이트본촌,3102,3102,0,힐스테이트본촌,84.9976,202312,30,"49,800",104동,4,-,-,2019,본촌마을길 157-22,-,중개거래,광주 북구,24.01.30,아파트
27,광주시 북구 양산동,광주시,북구,양산동,광주시 북구 양산동 호반,288-15,288,15,호반,37.83,202312,30,"7,700",102,7,-,-,1997,연양로28번길 27,-,중개거래,광주 북구,24.02.20,아파트
28,광주시 북구 우산동,광주시,북구,우산동,광주시 북구 우산동 무등산자이앤어울림1단지,835,835,0,무등산자이앤어울림1단지,84.9596,202312,30,"72,000",103,20,-,-,2022,서양로 155,-,중개거래,광주 북구,25.02.27,아파트
29,광주시 광산구 수완동,광주시,광산구,수완동,광주시 광산구 수완동 우미린1차,1488,1488,0,우미린1차,84.1244,202312,30,"56,200",104,9,-,-,2008,수완로33번길 22,-,중개거래,광주 광산구,24.01.31,아파트
30,광주시 광산구 수완동,광주시,광산구,수완동,광주시 광산구 수완동 우미린2차,908,908,0,우미린2차,84.9547,202312,30,"50,000",206,16,-,-,2008,왕버들로132번길 22,-,중개거래,광주 광산구,24.01.18,아파트
31,광주시 북구 두암동,광주시,북구,두암동,광주시 북구 두암동 주공3,969-1,969,1,주공3,49.77,202312,30,"11,700",306,6,-,-,1994,삼정로 50,-,중개거래,광주 북구,24.01.05,아파트
32,광주시 서구 치평동,광주시,서구,치평동,광주시 서구 치평동 해광한신,1168,1168,0,해광한신,59.935,202312,30,"16,650",103,1,-,-,1998,상무공원로 114,-,중개거래,광주 서구,24.02.28,아파트
33,광주시 남구 양림동,광주시,남구,양림동,광주시 남구 양림동 휴먼시아1단지,505,505,0,휴먼시아1단지,75.77,202312,30,"30,000",101,13,-,-,2008,제중로 11,-,중개거래,광주 남구,24.02.02,아파트
34,광주시 광산구 비아동,광주시,광산구,비아동,광주시 광산구 비아동 호반,152-5,152,5,호반,37.83,202312,30,"7,400",101,1,-,-,1998,비아로 185,-,중개거래,광주 광산구,24.02.15,아파트
35,광주시 광산구 도산동,광주시,광산구,도산동,광주시 광산구 도산동 호반1,1136-1,1136,1,호반1,59.95,202312,30,"9,000",101,1,-,-,1995,도산로9번길 35,-,중개거래,광주 광산구,24.02.06,아파트
36,광주시 서구 금호동,광주시,서구,금호동,광주시 서구 금호동 호반리젠시빌3차,770-1,770,1,호반리젠시빌3차,84.7555,202312,30,"35,000",304,5,-,-,2001,금화로149번길 11,-,중개거래,광주 서구,24.02.22,아파트
37,광주시 서구 금호동,광주시,서구,금호동,광주시 서구 금호동 진흥더루벤스,268-1,268,1,진흥더루벤스,136.235,202312,30,"68,800",201,9,-,-,2009,금화로59번길 12,-,중개거래,광주 서구,24.02.23,아파트
38,광주시 북구 양산동,광주시,북구,양산동,광주시 북구 양산동 청암프로스빌,101,101,0,청암프로스빌,59.97,202312,30,"10,800",102,7,-,-,1998,자라봉로 33,-,중개거래,광주 북구,24.01.31,아파트
39,광주시 광산구 월계동,광주시,광산구,월계동,광주시 광산구 월계동 호반2차,763-6,763,6,호반2차,59.82,202312,30,"17,000",211,1,-,-,1997,월계로 59,-,중개거래,광주 광산구,24.01.04,아파트
